"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_duration"
"1","casual","Sunday",2816.9717916054
"2","member","Sunday",1024.12813060417
"3","casual","Monday",2372.24465234895
"4","member","Monday",873.937120558928
"5","casual","Tuesday",2169.08305667362
"6","member","Tuesday",855.366208968327
"7","casual","Wednesday",2832.02475832812
"8","member","Wednesday",2169.84004497531
"9","casual","Thursday",2226.56660236202
"10","member","Thursday",862.299790598361
"11","casual","Friday",2346.73748524119
"12","member","Friday",895.642753920727
"13","casual","Saturday",2608.23197107184
"14","member","Saturday",993.72078831745
